"","Cst_Cnt","Btl_Cnt","Depthm","LightP","PO4uM","NO2uM","NO3uM","NH3uM"
"1",28108,691492,0,NA,0.22,0.01,0,NA
"2",28108,691493,2,NA,0.22,0.01,0,NA
"3",28108,691494,5,NA,0.22,0.01,0,NA
"4",28108,691495,10,NA,0.23,0.01,0,NA
"5",28108,691496,15,NA,0.36,0.08,0.8,NA
"6",28108,691497,20,NA,0.8,0.36,7,NA
"7",28108,691498,30,NA,1.18,0.05,12.7,NA
"8",28108,691499,40,NA,1.33,0.09,14.9,NA
"9",28108,691500,50,NA,1.55,0.15,17.7,NA
"10",28108,691501,60,NA,1.63,0.17,18.9,NA
"11",28109,691502,0,NA,0.29,0.01,0,NA
"12",28109,691503,1,NA,0.29,0.01,0,NA
"13",28109,691504,10,NA,0.27,0.01,0,NA
"14",28109,691505,20,NA,0.38,0.03,0.3,NA
"15",28109,691506,21,NA,0.39,0.03,0.3,NA
"16",28109,691507,30,NA,0.79,0.2,6.7,NA
"17",28109,691508,31,NA,0.84,0.21,7.5,NA
"18",28109,691509,41,NA,1.14,0.04,12.4,NA
"19",28109,691510,50,NA,1.3,0.03,14.6,NA
"20",28109,691511,60,NA,1.36,0.02,15.6,NA
"21",28109,691512,70,NA,1.49,0.02,17.2,NA
"22",28109,691513,75,NA,1.56,0.02,18.3,NA
"23",28109,691514,85,NA,1.69,0.01,20.4,NA
"24",28109,691515,100,NA,1.88,0.01,22.9,NA
"25",28109,691516,120,NA,2.01,0.01,24.6,NA
"26",28109,691517,125,NA,2.03,0.01,24.9,NA
"27",28109,691518,139,NA,2.09,0.01,25.6,NA
"28",28109,691519,150,NA,2.17,0.01,26.5,NA
"29",28109,691520,170,NA,2.32,0.01,28.1,NA
"30",28109,691521,199,NA,2.46,0.01,29.5,NA
"31",28109,691522,200,NA,2.46,0.01,29.5,NA
"32",28109,691523,229,NA,2.53,0.01,30.2,NA
"33",28109,691524,250,NA,2.58,0.01,30.8,NA
"34",28109,691525,269,NA,2.63,0.01,31.5,NA
"35",28109,691526,300,NA,2.7,0,32.6,NA
"36",28109,691527,319,NA,2.75,0,33.4,NA
"37",28109,691528,378,NA,2.91,0,36.1,NA
"38",28109,691529,400,NA,2.98,0,36.8,NA
"39",28109,691530,436,NA,3.07,0,37.8,NA
"40",28109,691531,500,NA,3.14,0,39.2,NA
"41",28109,691532,513,NA,3.16,0,39.5,NA
"42",28110,691533,0,NA,0.3,0,0,NA
"43",28110,691534,2,NA,0.3,0,0,NA
"44",28110,691535,10,NA,0.29,0,0,NA
"45",28110,691536,20,NA,0.23,0,0,NA
"46",28110,691537,30,NA,0.67,0.13,5,NA
"47",28110,691538,39,NA,1.02,0.04,10.6,NA
"48",28110,691539,50,NA,1.15,0.03,12.7,NA
"49",28110,691540,59,NA,1.21,0.03,13.6,NA
"50",28110,691541,69,NA,1.4,0.02,16.4,NA
"51",28110,691542,75,NA,1.49,0.02,17.7,NA
"52",28110,691543,85,NA,1.64,0.01,19.5,NA
"53",28110,691544,99,NA,1.85,0.01,22.1,NA
"54",28110,691545,100,NA,1.86,0.01,22.3,NA
"55",28110,691546,119,NA,2.03,0.01,24.6,NA
"56",28110,691547,125,NA,2.08,0.01,25.1,NA
"57",28110,691548,139,NA,2.18,0.01,26.2,NA
"58",28110,691549,150,NA,2.25,0.01,27,NA
"59",28110,691550,171,NA,2.36,0.01,28.2,NA
"60",28110,691551,199,NA,2.46,0.01,29.3,NA
"61",28110,691552,200,NA,2.46,0.01,29.3,NA
"62",28110,691553,229,NA,2.56,0.01,30.2,NA
"63",28110,691554,250,NA,2.59,0,30.8,NA
"64",28110,691555,267,NA,2.62,0,31.3,NA
"65",28110,691556,300,NA,2.72,0,32.5,NA
"66",28110,691557,317,NA,2.78,0,33.2,NA
"67",28110,691558,377,NA,2.92,0,35.2,NA
"68",28110,691559,400,NA,2.98,0,36,NA
"69",28110,691560,437,NA,3.06,0,37.4,NA
"70",28110,691561,500,NA,3.17,0,39.4,NA
"71",28110,691562,515,NA,3.2,0,39.9,NA
"72",28111,691563,0,93.4,0.29,0,0.1,NA
"73",28111,691564,2,93.4,0.29,0,0.1,NA
"74",28111,691565,2,NA,NA,NA,NA,NA
"75",28111,691566,10,62.3,0.28,0,0.1,NA
"76",28111,691567,15,36.6,0.28,0,0.1,NA
"77",28111,691568,20,25.4,0.29,0,0.1,NA
"78",28111,691569,30,13,0.32,0.01,0.1,NA
"79",28111,691570,43,4.5,0.71,0.17,5.6,NA
"80",28111,691571,50,2.6,0.87,0.08,8.1,NA
"81",28111,691572,51,NA,0.89,0.06,8.4,NA
"82",28111,691573,59,1.6,1.02,0.03,10.6,NA
"83",28111,691574,66,NA,1.13,0.03,12.4,NA
"84",28111,691575,74,NA,1.19,0.02,13.3,NA
"85",28111,691576,75,0.73,1.2,0.02,13.5,NA
"86",28111,691577,83,0.3,1.32,0.02,15.3,NA
"87",28111,691578,96,NA,1.6,0.01,19.2,NA
"88",28111,691579,100,NA,1.63,0.01,19.8,NA
"89",28111,691580,109,NA,1.66,0.01,20.7,NA
"90",28111,691581,125,NA,1.84,0.01,22.4,NA
"91",28111,691582,144,NA,1.98,0.01,24.9,NA
"92",28111,691583,150,NA,2.02,0.01,25.6,NA
"93",28111,691584,170,NA,2.15,0.01,27.4,NA
"94",28111,691585,199,NA,2.23,0.01,28.4,NA
"95",28111,691586,200,NA,2.23,0.01,28.5,NA
"96",28111,691587,229,NA,2.32,0,30.3,NA
"97",28111,691588,250,NA,2.45,0,31.5,NA
"98",28111,691589,267,NA,2.56,0,32.3,NA
"99",28111,691590,300,NA,2.69,0,33.8,NA
"100",28111,691591,319,NA,2.75,0,34.5,NA
"101",28111,691592,378,NA,2.94,0,36.2,NA
"102",28111,691593,400,NA,2.99,0,36.9,NA
"103",28111,691594,437,NA,3.07,0,38,NA
"104",28111,691595,500,NA,3.18,0,39.6,NA
"105",28111,691596,512,NA,3.2,0,39.9,NA
"106",28112,691597,0,NA,0.3,0,0.1,NA
"107",28112,691598,2,NA,0.3,0,0.1,NA
"108",28112,691599,10,NA,0.29,0,0,NA
"109",28112,691600,15,NA,0.29,0,0,NA
"110",28112,691601,20,NA,0.29,0,0,NA
"111",28112,691602,30,NA,0.3,0,0,NA
"112",28112,691603,45,NA,0.33,0.01,0.3,NA
"113",28112,691604,50,NA,0.47,0.07,2.3,NA
"114",28112,691605,55,NA,0.64,0.12,4.7,NA
"115",28112,691606,65,NA,0.92,0.05,9.3,NA
"116",28112,691607,75,NA,0.99,0.04,10.4,NA
"117",28112,691608,84,NA,1.15,0.02,12.8,NA
"118",28112,691609,94,NA,1.46,0.01,17.4,NA
"119",28112,691610,100,NA,1.58,0.01,19,NA
"120",28112,691611,110,NA,1.73,0.01,20.8,NA
"121",28112,691612,125,NA,1.95,0,23.4,NA
"122",28112,691613,144,NA,2.19,0,26.4,NA
"123",28112,691614,150,NA,2.22,0,26.9,NA
"124",28112,691615,170,NA,2.28,0,28,NA
"125",28112,691616,199,NA,2.33,0,28.8,NA
"126",28112,691617,200,NA,2.33,0,28.8,NA
"127",28112,691618,229,NA,2.37,0,29.7,NA
"128",28112,691619,250,NA,2.41,0,30.3,NA
"129",28112,691620,268,NA,2.46,0,30.9,NA
"130",28112,691621,300,NA,2.57,0,32.6,NA
"131",28112,691622,318,NA,2.64,0,33.6,NA
"132",28112,691623,378,NA,2.85,0,36.3,NA
"133",28112,691624,400,NA,2.94,0,37.3,NA
"134",28112,691625,438,NA,3.07,0,38.7,NA
"135",28112,691626,500,NA,3.17,0,40,NA
"136",28112,691627,515,NA,3.19,0,40.3,NA
"137",28113,691628,0,NA,0.32,0,0,NA
"138",28113,691629,2,NA,0.32,0,0,NA
"139",28113,691630,10,NA,0.33,0,0,NA
"140",28113,691631,11,NA,0.33,0,0,NA
"141",28113,691632,20,NA,0.33,0,0,NA
"142",28113,691633,21,NA,0.33,0,0,NA
"143",28113,691634,30,NA,0.34,0.01,0.1,NA
"144",28113,691635,31,NA,0.34,0.01,0.1,NA
"145",28113,691636,41,NA,0.38,0.01,0.1,NA
"146",28113,691637,50,NA,0.37,0.02,0.3,NA
"147",28113,691638,61,NA,0.44,0.07,1.5,NA
"148",28113,691639,70,NA,1.04,0.11,10.8,NA
"149",28113,691640,75,NA,1.11,0.09,11.9,NA
"150",28113,691641,85,NA,1.24,0.03,14.2,NA
"151",28113,691642,100,NA,1.38,0.02,16.3,NA
"152",28113,691643,119,NA,1.64,0.01,20.3,NA
"153",28113,691644,125,NA,1.73,0.01,21.5,NA
"154",28113,691645,139,NA,1.91,0.01,24.1,NA
"155",28113,691646,150,NA,1.99,0.01,25.3,NA
"156",28113,691647,170,NA,2.09,0,26.7,NA
"157",28113,691648,199,NA,2.24,0,28.6,NA
"158",28113,691649,200,NA,2.24,0,28.6,NA
"159",28113,691650,229,NA,2.36,0,30,NA
"160",28113,691651,250,NA,2.46,0,31.4,NA
"161",28113,691652,269,NA,2.56,0,32.6,NA
"162",28113,691653,300,NA,2.68,0,33.9,NA
"163",28113,691654,317,NA,2.74,0,34.5,NA
"164",28113,691655,379,NA,2.99,0,37.6,NA
"165",28113,691656,400,NA,3.04,0,38.3,NA
"166",28113,691657,438,NA,3.11,0,39.2,NA
"167",28113,691658,500,NA,3.21,0,40.5,NA
"168",28113,691659,512,NA,3.23,0,40.8,NA
"169",28114,691660,0,NA,0.34,0,0,NA
"170",28114,691661,1,NA,0.34,0,0,NA
"171",28114,691662,10,NA,0.34,0,0.1,NA
"172",28114,691663,11,NA,0.34,0,0.1,NA
"173",28114,691664,20,NA,0.34,0,0.1,NA
"174",28114,691665,21,NA,0.34,0,0.1,NA
"175",28114,691666,30,NA,0.33,0,0.1,NA
"176",28114,691667,31,NA,0.33,0,0.1,NA
"177",28114,691668,40,NA,0.34,0.01,0.1,NA
"178",28114,691669,50,NA,0.76,0.19,6.2,NA
"179",28114,691670,59,NA,1.06,0.11,10.9,NA
"180",28114,691671,71,NA,1.25,0.04,14,NA
"181",28114,691672,75,NA,1.33,0.03,15.3,NA
"182",28114,691673,85,NA,1.5,0.02,18.1,NA
"183",28114,691674,100,NA,1.6,0.01,19.5,NA
"184",28114,691675,102,NA,1.61,0.01,19.6,NA
"185",28114,691676,120,NA,1.83,0.01,22.9,NA
"186",28114,691677,125,NA,1.87,0.01,23.5,NA
"187",28114,691678,139,NA,1.95,0.01,24.7,NA
"188",28114,691679,150,NA,2.02,0.01,25.8,NA
"189",28114,691680,169,NA,2.15,0,27.5,NA
"190",28114,691681,199,NA,2.35,0,29.5,NA
"191",28114,691682,200,NA,2.36,0,29.6,NA
"192",28114,691683,231,NA,2.49,0,31.1,NA
"193",28114,691684,250,NA,2.56,0,31.9,NA
"194",28114,691685,271,NA,2.64,0,32.7,NA
"195",28114,691686,300,NA,2.77,0,34.2,NA
"196",28114,691687,319,NA,2.85,0,35.2,NA
"197",28114,691688,379,NA,2.97,0,37.5,NA
"198",28114,691689,400,NA,3.02,0,38.3,NA
"199",28114,691690,437,NA,3.11,0,39.6,NA
"200",28114,691691,500,NA,3.23,0,40.8,NA
"201",28114,691692,513,NA,3.25,0,41,NA
"202",28115,691693,0,NA,0.42,0.06,1,NA
"203",28115,691694,1,NA,0.42,0.06,1,NA
"204",28115,691695,10,NA,0.42,0.07,1,NA
"205",28115,691696,20,NA,0.43,0.09,1.3,NA
"206",28115,691697,30,NA,0.43,0.1,1.3,NA
"207",28115,691698,40,NA,0.46,0.12,1.6,NA
"208",28115,691699,50,NA,0.47,0.13,1.7,NA
"209",28115,691700,60,NA,0.66,0.14,4.8,NA
"210",28115,691701,70,NA,1.15,0.04,12.6,NA
"211",28115,691702,75,NA,1.23,0.03,14,NA
"212",28115,691703,85,NA,1.31,0.02,15.4,NA
"213",28115,691704,100,NA,1.62,0.01,19.8,NA
"214",28115,691705,119,NA,1.87,0.01,23.2,NA
"215",28115,691706,125,NA,1.93,0.01,23.8,NA
"216",28115,691707,140,NA,2.04,0.01,25.1,NA
"217",28115,691708,150,NA,2.11,0.01,26,NA
"218",28115,691709,170,NA,2.22,0,27.7,NA
"219",28115,691710,199,NA,2.36,0,29.5,NA
"220",28115,691711,200,NA,2.36,0,29.5,NA
"221",28115,691712,229,NA,2.44,0,30.8,NA
"222",28115,691713,250,NA,2.5,0,31.6,NA
"223",28115,691714,267,NA,2.56,0,32.3,NA
"224",28115,691715,300,NA,2.72,0,34.1,NA
"225",28115,691716,318,NA,2.8,0,35.1,NA
"226",28115,691717,378,NA,2.96,0,37,NA
"227",28115,691718,400,NA,3.02,0,37.6,NA
"228",28115,691719,438,NA,3.1,0,38.5,NA
"229",28115,691720,500,NA,3.19,0,39.9,NA
"230",28115,691721,516,NA,3.21,0,40.2,NA
"231",28116,691722,0,93.4,0.32,0,0.1,NA
"232",28116,691723,1,NA,NA,NA,NA,NA
"233",28116,691724,2,93.4,0.32,0,0.1,NA
"234",28116,691725,10,NA,0.32,0,0.1,NA
"235",28116,691726,18,36.6,0.32,0,0.1,NA
"236",28116,691727,20,32.6,0.32,0,0.1,NA
"237",28116,691728,27,NA,0.32,0,0.1,NA
"238",28116,691729,30,18,0.32,0,0.1,NA
"239",28116,691730,37,13,0.32,0,0.1,NA
"240",28116,691731,47,NA,0.4,0.11,0.7,NA
"241",28116,691732,50,6.2,0.42,0.12,0.8,NA
"242",28116,691733,57,4.5,0.45,0.15,1.3,NA
"243",28116,691734,64,NA,0.5,0.23,2.1,NA
"244",28116,691735,75,1.6,0.56,0.27,3.2,NA
"245",28116,691736,85,NA,0.72,0.08,5.8,NA
"246",28116,691737,95,NA,1.03,0.06,10.8,NA
"247",28116,691738,100,0.55,1.13,0.06,12.6,NA
"248",28116,691739,106,0.3,1.23,0.06,14.3,NA
"249",28116,691740,115,NA,1.38,0.03,16.5,NA
"250",28116,691741,125,NA,1.51,0.02,18.6,NA
"251",28116,691742,144,NA,1.77,0.01,22.3,NA
"252",28116,691743,150,NA,1.84,0.01,23.2,NA
"253",28116,691744,169,NA,1.99,0.01,25.5,NA
"254",28116,691745,199,NA,2.05,0.01,27.1,NA
"255",28116,691746,200,NA,2.05,0.01,27.2,NA
"256",28116,691747,229,NA,2.15,0.01,28.8,NA
"257",28116,691748,250,NA,2.27,0.01,30.3,NA
"258",28116,691749,268,NA,2.38,0.01,31.6,NA
"259",28116,691750,300,NA,2.54,0,33.1,NA
"260",28116,691751,318,NA,2.63,0,33.8,NA
"261",28116,691752,378,NA,2.93,0,36.4,NA
"262",28116,691753,400,NA,2.98,0,37.1,NA
"263",28116,691754,437,NA,3.05,0,38.1,NA
"264",28116,691755,500,NA,3.19,0,39.9,NA
"265",28116,691756,516,NA,3.22,0,40.3,NA
"266",28117,691757,0,NA,0.3,0,0.1,NA
"267",28117,691758,2,NA,0.3,0,0.1,NA
"268",28117,691759,10,NA,0.3,0,0.1,NA
"269",28117,691760,15,NA,0.3,0,0.1,NA
"270",28117,691761,20,NA,0.3,0,0.1,NA
"271",28117,691762,30,NA,0.31,0,0.1,NA
"272",28117,691763,46,NA,0.32,0,0.1,NA
"273",28117,691764,50,NA,0.32,0.01,0.1,NA
"274",28117,691765,55,NA,0.33,0.02,0.2,NA
"275",28117,691766,66,NA,0.34,0.02,0.2,NA
"276",28117,691767,75,NA,0.38,0.11,0.7,NA
"277",28117,691768,85,NA,0.43,0.16,1.1,NA
"278",28117,691769,95,NA,0.52,0.08,2.7,NA
"279",28117,691770,100,NA,0.58,0.06,3.8,NA
"280",28117,691771,110,NA,0.72,0.04,6.2,NA
"281",28117,691772,125,NA,0.89,0.03,8.7,NA
"282",28117,691773,145,NA,1.03,0.01,12.1,NA
"283",28117,691774,150,NA,1.11,0.01,13.4,NA
"284",28117,691775,169,NA,1.45,0,18.2,NA
"285",28117,691776,199,NA,1.78,0,23.2,NA
"286",28117,691777,200,NA,1.79,0,23.3,NA
"287",28117,691778,230,NA,1.94,0,26,NA
"288",28117,691779,250,NA,2.04,0,27.2,NA
"289",28117,691780,269,NA,2.13,0,28.2,NA
"290",28117,691781,300,NA,2.29,0,30.4,NA
"291",28117,691782,318,NA,2.39,0,31.7,NA
"292",28117,691783,380,NA,2.73,0,35.8,NA
"293",28117,691784,400,NA,2.84,0,36.2,NA
"294",28117,691785,437,NA,3.02,0,36.6,NA
"295",28117,691786,500,NA,3.15,0,38.3,NA
"296",28117,691787,513,NA,3.18,0,38.7,NA
"297",28118,691788,0,NA,0.29,0,0,NA
"298",28118,691789,1,NA,0.29,0,0,NA
"299",28118,691790,10,NA,0.28,0,0,NA
"300",28118,691791,17,NA,0.28,0,0,NA
"301",28118,691792,20,NA,0.28,0,0,NA
"302",28118,691793,30,NA,0.28,0,0,NA
"303",28118,691794,31,NA,0.28,0,0,NA
"304",28118,691795,47,NA,0.29,0,0,NA
"305",28118,691796,50,NA,0.29,0,0,NA
"306",28118,691797,55,NA,0.29,0,0,NA
"307",28118,691798,67,NA,0.29,0,0,NA
"308",28118,691799,75,NA,0.3,0,0,NA
"309",28118,691800,78,NA,0.3,0,0,NA
"310",28118,691801,88,NA,0.33,0.06,0.1,NA
"311",28118,691802,96,NA,0.36,0.09,0.4,NA
"312",28118,691803,100,NA,0.41,0.08,1.2,NA
"313",28118,691804,109,NA,0.56,0.05,3.5,NA
"314",28118,691805,124,NA,0.8,0.02,7.5,NA
"315",28118,691806,125,NA,0.82,0.02,7.8,NA
"316",28118,691807,144,NA,1.24,0.01,14.1,NA
"317",28118,691808,150,NA,1.37,0.01,15.8,NA
"318",28118,691809,171,NA,1.75,0,20.6,NA
"319",28118,691810,200,NA,1.9,0,23.2,NA
"320",28118,691811,201,NA,1.9,0,23.2,NA
"321",28118,691812,230,NA,2.05,0,25.8,NA
"322",28118,691813,250,NA,2.13,0,27.2,NA
"323",28118,691814,267,NA,2.19,0,28.3,NA
"324",28118,691815,300,NA,2.37,0,30.4,NA
"325",28118,691816,319,NA,2.47,0,31.6,NA
"326",28118,691817,377,NA,2.7,0,35,NA
"327",28118,691818,400,NA,2.78,0,36,NA
"328",28118,691819,428,NA,2.88,0,37.1,NA
"329",28118,691820,500,NA,3.09,0,39.5,NA
"330",28118,691821,512,NA,3.13,0,39.9,NA
"331",28119,691822,0,93.4,0.29,0,0,NA
"332",28119,691823,1,NA,NA,NA,NA,NA
"333",28119,691824,2,93.4,0.29,0,0,NA
"334",28119,691825,10,75.9,0.29,0,0,NA
"335",28119,691826,11,NA,0.29,0,0,NA
"336",28119,691827,20,46.9,0.29,0,0,NA
"337",28119,691828,23,36.6,0.29,0,0,NA
"338",28119,691829,30,26.3,0.28,0,0,NA
"339",28119,691830,33,NA,0.28,0,0,NA
"340",28119,691831,45,13,0.31,0,0.1,NA
"341",28119,691832,50,10.2,0.3,0,0.1,NA
"342",28119,691833,55,NA,0.29,0,0,NA
"343",28119,691834,67,4.5,0.36,0.08,0.1,NA
"344",28119,691835,75,3.1,0.4,0.09,0.6,NA
"345",28119,691836,77,NA,0.41,0.09,0.8,NA
"346",28119,691837,90,1.6,0.48,0.03,2,NA
"347",28119,691838,100,NA,0.62,0.02,4.3,NA
"348",28119,691839,110,NA,0.73,0.02,6.6,NA
"349",28119,691840,124,0.3,1.03,0.01,11.3,NA
"350",28119,691841,125,NA,1.06,0.01,11.7,NA
"351",28119,691842,144,NA,1.51,0.01,18.5,NA
"352",28119,691843,150,NA,1.58,0.01,19.6,NA
"353",28119,691844,170,NA,1.72,0,21.7,NA
"354",28119,691845,199,NA,1.85,0,24.3,NA
"355",28119,691846,200,NA,1.85,0,24.4,NA
"356",28119,691847,230,NA,1.96,0,26.4,NA
"357",28119,691848,250,NA,2.13,0,28.5,NA
"358",28119,691849,268,NA,2.3,0,30.4,NA
"359",28119,691850,300,NA,2.55,0,32.6,NA
"360",28119,691851,319,NA,2.67,0,33.6,NA
"361",28119,691852,377,NA,2.84,0,35.6,NA
"362",28119,691853,400,NA,2.9,0,36.5,NA
"363",28119,691854,437,NA,2.98,0,38,NA
"364",28119,691855,500,NA,3.14,0,39.8,NA
"365",28119,691856,514,NA,3.18,0,40.2,NA
"366",28120,691857,0,NA,0.29,0,0,NA
"367",28120,691858,1,NA,NA,NA,NA,NA
"368",28120,691859,2,NA,0.29,0,0,NA
"369",28120,691860,10,NA,0.29,0,0,NA
"370",28120,691861,16,NA,0.28,0,0,NA
"371",28120,691862,20,NA,0.28,0,0,NA
"372",28120,691863,30,NA,0.27,0,0,NA
"373",28120,691864,45,NA,0.27,0,0,NA
"374",28120,691865,50,NA,0.27,0,0,NA
"375",28120,691866,60,NA,0.27,0,0,NA
"376",28120,691867,75,NA,0.28,0,0,NA
"377",28120,691868,85,NA,0.29,0,0,NA
"378",28120,691869,94,NA,0.29,0.09,0.1,NA
"379",28120,691870,100,NA,0.31,0.11,0.3,NA
"380",28120,691871,105,NA,0.34,0.12,0.4,NA
"381",28120,691872,115,NA,0.43,0.04,1.8,NA
"382",28120,691873,125,NA,0.45,0.02,2.5,NA
"383",28120,691874,140,NA,0.55,0.02,4.9,NA
"384",28120,691875,150,NA,0.73,0.02,7.8,NA
"385",28120,691876,165,NA,1.04,0.01,12.4,NA
"386",28120,691877,194,NA,1.38,0,17.7,NA
"387",28120,691878,200,NA,1.47,0,19.1,NA
"388",28120,691879,229,NA,1.82,0,24.4,NA
"389",28120,691880,250,NA,1.79,0,24.2,NA
"390",28120,691881,268,NA,1.77,0,24.1,NA
"391",28120,691882,300,NA,2.03,0,27.1,NA
"392",28120,691883,318,NA,2.22,0,29.3,NA
"393",28120,691884,378,NA,2.59,0,34.9,NA
"394",28120,691885,400,NA,2.72,0,36.3,NA
"395",28120,691886,439,NA,2.93,0,38.1,NA
"396",28120,691887,500,NA,3.13,0,40.2,NA
"397",28120,691888,515,NA,3.18,0,40.7,NA
"398",28121,691889,0,NA,0.26,0,0.1,NA
"399",28121,691890,1,NA,0.26,0,0.1,NA
"400",28121,691891,10,NA,0.26,0,0.1,NA
"401",28121,691892,15,NA,0.26,0,0.1,NA
"402",28121,691893,20,NA,0.26,0,0.1,NA
"403",28121,691894,30,NA,0.25,0,0,NA
"404",28121,691895,32,NA,0.25,0,0,NA
"405",28121,691896,44,NA,0.25,0,0,NA
"406",28121,691897,50,NA,0.25,0,0,NA
"407",28121,691898,61,NA,0.25,0,0,NA
"408",28121,691899,74,NA,0.25,0,0,NA
"409",28121,691900,75,NA,0.25,0,0,NA
"410",28121,691901,85,NA,0.23,0,0,NA
"411",28121,691902,93,NA,0.24,0.01,0,NA
"412",28121,691903,100,NA,0.25,0.06,0.2,NA
"413",28121,691904,105,NA,0.26,0.1,0.4,NA
"414",28121,691905,114,NA,0.27,0.1,0.5,NA
"415",28121,691906,125,NA,0.31,0.04,1.2,NA
"416",28121,691907,126,NA,0.32,0.03,1.3,NA
"417",28121,691908,140,NA,0.42,0.02,3.2,NA
"418",28121,691909,150,NA,0.58,0.02,5.7,NA
"419",28121,691910,166,NA,0.9,0.01,10.4,NA
"420",28121,691911,194,NA,1.41,0,18.3,NA
"421",28121,691912,200,NA,1.45,0,19.1,NA
"422",28121,691913,230,NA,1.59,0,21.5,NA
"423",28121,691914,250,NA,1.78,0,24,NA
"424",28121,691915,268,NA,1.96,0,26.2,NA
"425",28121,691916,300,NA,2.12,0,28.7,NA
"426",28121,691917,319,NA,2.2,0,29.9,NA
"427",28121,691918,380,NA,2.68,0,35.2,NA
"428",28121,691919,400,NA,2.78,0,36.3,NA
"429",28121,691920,437,NA,2.91,0,37.8,NA
"430",28121,691921,500,NA,3.07,0,39.7,NA
"431",28121,691922,515,NA,3.11,0,40.2,NA
"432",28122,691923,0,93.4,0.26,0,0.1,NA
"433",28122,691924,2,NA,NA,NA,NA,NA
"434",28122,691925,2,93.4,0.26,0,0.1,NA
"435",28122,691926,10,79.1,0.25,0,0.1,NA
"436",28122,691927,15,NA,0.25,0,0.1,NA
"437",28122,691928,20,56.1,0.25,0,0.1,NA
"438",28122,691929,27,36.6,0.25,0,0.1,NA
"439",28122,691930,30,32.6,0.25,0,0.1,NA
"440",28122,691931,40,NA,0.24,0,0.1,NA
"441",28122,691932,50,14.8,0.23,0,0.1,NA
"442",28122,691933,54,13,0.22,0,0.1,NA
"443",28122,691934,68,NA,0.22,0,0.1,NA
"444",28122,691935,75,5.7,0.22,0,0.1,NA
"445",28122,691936,83,4.5,0.22,0,0.1,NA
"446",28122,691937,92,NA,0.22,0,0,NA
"447",28122,691938,100,2.3,0.22,0.03,0.1,NA
"448",28122,691939,101,NA,0.22,0.04,0.1,NA
"449",28122,691940,110,1.6,0.23,0.11,0.2,NA
"450",28122,691941,124,NA,0.27,0.08,0.8,NA
"451",28122,691942,125,1.2,0.27,0.08,0.8,NA
"452",28122,691943,140,NA,0.35,0.03,1.9,NA
"453",28122,691944,150,0.42,0.5,0.01,3.9,NA
"454",28122,691945,154,0.3,0.57,0.01,4.9,NA
"455",28122,691946,174,NA,0.84,0.01,9.5,NA
"456",28122,691947,194,NA,1.13,0,14,NA
"457",28122,691948,200,NA,1.2,0,15.1,NA
"458",28122,691949,229,NA,1.51,0,19.9,NA
"459",28122,691950,250,NA,1.71,0,22.9,NA
"460",28122,691951,268,NA,1.86,0,25.1,NA
"461",28122,691952,300,NA,2.07,0,28.1,NA
"462",28122,691953,318,NA,2.17,0,29.5,NA
"463",28122,691954,378,NA,2.58,0,34.7,NA
"464",28122,691955,400,NA,2.69,0,36.2,NA
"465",28122,691956,437,NA,2.85,0,38.2,NA
"466",28122,691957,500,NA,3.07,0,40.4,NA
"467",28122,691958,515,NA,3.12,0,40.9,NA
"468",28123,691959,0,NA,0.27,0,0.1,NA
"469",28123,691960,1,NA,NA,NA,NA,NA
"470",28123,691961,2,NA,0.27,0,0.1,NA
"471",28123,691962,10,NA,0.27,0,0.1,NA
"472",28123,691963,16,NA,0.27,0,0.1,NA
"473",28123,691964,20,NA,0.27,0,0.1,NA
"474",28123,691965,30,NA,0.26,0,0.1,NA
"475",28123,691966,45,NA,0.26,0,0.1,NA
"476",28123,691967,50,NA,0.26,0,0.1,NA
"477",28123,691968,61,NA,0.25,0,0.1,NA
"478",28123,691969,75,NA,0.25,0,0.1,NA
"479",28123,691970,85,NA,0.28,0.01,0,NA
"480",28123,691971,95,NA,0.3,0.08,0.1,NA
"481",28123,691972,100,NA,0.32,0.09,0.3,NA
"482",28123,691973,105,NA,0.34,0.1,0.6,NA
"483",28123,691974,115,NA,0.37,0.03,1.4,NA
"484",28123,691975,125,NA,0.41,0.02,2.2,NA
"485",28123,691976,140,NA,0.52,0.01,4,NA
"486",28123,691977,150,NA,0.67,0.01,6.6,NA
"487",28123,691978,164,NA,0.93,0.01,11,NA
"488",28123,691979,195,NA,1.47,0,19.1,NA
"489",28123,691980,200,NA,1.54,0,20.1,NA
"490",28123,691981,230,NA,1.87,0,24.8,NA
"491",28123,691982,250,NA,1.96,0,26.1,NA
"492",28123,691983,269,NA,2.01,0,26.9,NA
"493",28123,691984,300,NA,2.14,0,28.9,NA
"494",28123,691985,318,NA,2.23,0,30.1,NA
"495",28123,691986,378,NA,2.62,0,34.8,NA
"496",28123,691987,400,NA,2.73,0,36.1,NA
"497",28123,691988,438,NA,2.88,0,38,NA
"498",28123,691989,500,NA,3.06,0,40.3,NA
"499",28123,691990,512,NA,3.09,0,40.8,NA
"500",28124,691991,0,NA,0.28,0,0,NA
"501",28124,691992,2,NA,0.28,0,0,NA
"502",28124,691993,10,NA,0.27,0,0,NA
"503",28124,691994,11,NA,0.27,0,0,NA
"504",28124,691995,20,NA,0.27,0,0,NA
"505",28124,691996,30,NA,0.27,0,0,NA
"506",28124,691997,46,NA,0.27,0,0,NA
"507",28124,691998,50,NA,0.27,0,0,NA
