"Cst_Cnt","Cruise_ID","Cruise","Cruz_Sta","DbSta_ID","Cast_ID","Sta_ID","Quarter","Sta_Code","Distance","Date","Year","Month","Julian_Date","Julian_Day","Time","Lat_Dec","Lat_Deg","Lat_Min","Lat_Hem","Lon_Dec","Lon_Deg","Lon_Min","Lon_Hem","Rpt_Line","St_Line","Ac_Line","Rpt_Sta","St_Station","Ac_Sta","Bottom_D","Secchi","ForelU","Ship_Name","Ship_Code","Data_Type","Order_Occ","Event_Num","Cruz_Leg","Orig_Sta_ID","Data_Or","Cruz_Num","IntChl","IntC14","Inc_Str","Inc_End","PST_LAN","Civil_T","TimeZone","Wave_Dir","Wave_Ht","Wave_Prd","Wind_Dir","Wind_Spd","Barometer","Dry_T","Wet_T","Wea","Cloud_Typ","Cloud_Amt","Visibility"
29349,"2000-01-07-C-32NM",200001,20000109330800,9330800,"20-0001NM-PR-009-1927-09330800","093.3 080.0",1,"ST",-213.1,"01/09/2000",2000,1,36534,9,"12/30/1899 19:27:00",31.19,31,11.4,"N",-120.905,-120,54.3,"W",93.3,93.3,93.3,80,80,79.8,3894,18,NA,"RV NEW HORIZON","32NM","PR",11,102,NA,"93   80","3101","0001",24.8,152.1,"12/30/1899 12:20:00","12/30/1899 17:46:00","12/30/1899 12:11:00","12/30/1899 17:46:00",8,29,6,7,33,15,1024.6,15.8,13.7,1,0,1,8
29350,"2000-01-07-C-32NM",200001,20000109330900,9330900,"20-0001NM-MX-010-0309-09330900","093.3 090.0",1,"ST",-253.92,"01/10/2000",2000,1,36535,10,"12/30/1899 03:09:00",30.846666,30,50.8,"N",-121.59,-121,35.4,"W",93.3,93.3,93.3,90,90,90,4103,NA,NA,"RV NEW HORIZON","32NM","MX",12,112,NA,"93   90","3101","0001",28.7,NA,"","","","",NA,NA,NA,NA,35,18,1023.2,14.4,12.4,NA,NA,NA,NA
29351,"2000-01-07-C-32NM",200001,20000109331000,9331000,"20-0001NM-MX-010-0928-09331000","093.3 100.0",1,"ST",-294.09,"01/10/2000",2000,1,36535,10,"12/30/1899 09:28:00",30.513333,30,30.8,"N",-122.265,-122,15.9,"W",93.3,93.3,93.3,100,100,100.1,4176,NA,NA,"RV NEW HORIZON","32NM","MX",13,122,NA,"93  100","3101","0001",23.8,NA,"","","","",NA,NA,NA,NA,33,18,1024.4,15,13.1,NA,NA,NA,NA
29352,"2000-01-07-C-32NM",200001,20000109331100,9331100,"20-0001NM-PR-010-1836-09331100","093.3 110.0",1,"ST",-334.09,"01/10/2000",2000,1,36535,10,"12/30/1899 18:36:00",30.186666,30,11.2,"N",-122.938333,-122,56.3,"W",93.3,93.3,93.2,110,110,110.1,3978,23,NA,"RV NEW HORIZON","32NM","PR",14,132,NA,"93  110","3101","0001",23.1,52.4,"12/30/1899 12:19:00","12/30/1899 17:59:00","12/30/1899 12:19:00","12/30/1899 17:59:00",8,36,5,7,35,18,1026.2,15.2,14.1,2,6,8,7
29353,"2000-01-07-C-32NM",200001,20000109331200,9331200,"20-0001NM-MX-010-2358-09331200","093.3 120.0",1,"ST",-373.45,"01/10/2000",2000,1,36535,10,"12/30/1899 23:58:00",29.848333,29,50.9,"N",-123.586666,-123,35.2,"W",93.3,93.3,93.3,120,120,120,4132,NA,NA,"RV NEW HORIZON","32NM","MX",15,142,NA,"93  120","3101","0001",26.1,NA,"","","","",NA,2,4,6,1,14,1024.3,15,14.1,2,6,8,7
29354,"2000-01-07-C-32NM",200001,20000109001200,9001200,"20-0001NM-MX-011-0559-09001200","090.0 120.0",1,"ST",-368.14,"01/11/2000",2000,1,36536,11,"12/30/1899 05:59:00",30.42,30,25.2,"N",-123.998333,-123,59.9,"W",90,90,90,120,120,120,4233,NA,NA,"RV NEW HORIZON","32NM","MX",16,152,NA,"90  120","3101","0001",25,NA,"","","","",NA,NA,NA,NA,36,14,1024.8,14.5,13.4,NA,NA,NA,NA
29355,"2000-01-07-C-32NM",200001,20000109001100,9001100,"20-0001NM-MX-011-1227-09001100","090.0 110.0",1,"ST",-328.61,"01/11/2000",2000,1,36536,11,"12/30/1899 12:27:00",30.748333,30,44.9,"N",-123.335,-123,20.1,"W",90,90,90,110,110,110.1,4014,NA,NA,"RV NEW HORIZON","32NM","MX",17,162,NA,"90  110","3101","0001",24,NA,"","","","",NA,NA,NA,NA,32,11,1022.8,14.2,13.4,NA,NA,NA,NA
29356,"2000-01-07-C-32NM",200001,20000109001000,9001000,"20-0001NM-PR-011-1901-09001000","090.0 100.0",1,"ST",-288.72,"01/11/2000",2000,1,36536,11,"12/30/1899 19:01:00",31.086666,31,5.2,"N",-122.668333,-122,40.1,"W",90,90,90,100,100,100.1,3975,31,NA,"RV NEW HORIZON","32NM","PR",18,172,NA,"90  100","3101","0001",24.4,104.1,"12/30/1899 12:19:00","12/30/1899 17:50:00","12/30/1899 12:19:00","12/30/1899 17:50:00",8,33,4,7,33,13,1024.9,15.7,14,1,6,6,8
29357,"2000-01-07-C-32NM",200001,20000109000900,9000900,"20-0001NM-MX-012-0213-09000900","090.0 090.0",1,"ST",-248.73,"01/12/2000",2000,1,36537,12,"12/30/1899 02:13:00",31.415,31,24.9,"N",-121.99,-121,59.4,"W",90,90,90,90,90,90,3896,NA,NA,"RV NEW HORIZON","32NM","MX",19,182,NA,"90   90","3101","0001",35,NA,"","","","",NA,NA,NA,NA,34,6,1022.7,13.1,12.9,NA,NA,NA,NA
29358,"2000-01-07-C-32NM",200001,20000109000800,9000800,"20-0001NM-MX-012-0847-09000800","090.0 080.0",1,"ST",-209.19,"01/12/2000",2000,1,36537,12,"12/30/1899 08:47:00",31.746666,31,44.8,"N",-121.321666,-121,19.3,"W",90,90,90,80,80,80.1,3731,NA,NA,"RV NEW HORIZON","32NM","MX",20,192,NA,"90   80","3101","0001",40.1,NA,"","","","",NA,NA,NA,NA,33,15,1022.9,14,12.8,NA,NA,NA,NA
29359,"2000-01-07-C-32NM",200001,20000109000700,9000700,"20-0001NM-PR-012-1823-09000700","090.0 070.0",1,"ST",-169.22,"01/12/2000",2000,1,36537,12,"12/30/1899 18:23:00",32.093333,32,5.6,"N",-120.651666,-120,39.1,"W",90,90,89.9,70,70,70.1,3796,16,NA,"RV NEW HORIZON","32NM","PR",21,202,NA,"90   70","3101","0001",45,192.9,"12/30/1899 12:11:00","12/30/1899 17:42:00","12/30/1899 12:11:00","12/30/1899 17:40:00",8,34,3,9,34,13,1025,14.2,13.3,1,6,6,7
29360,"2000-01-07-C-32NM",200001,20000109000600,9000600,"20-0001NM-MX-012-2327-09000600","090.0 060.0",1,"ST",-129.16,"01/12/2000",2000,1,36537,12,"12/30/1899 23:27:00",32.413333,32,24.8,"N",-119.958333,-119,57.5,"W",90,90,90,60,60,60,904,18,NA,"RV NEW HORIZON","32NM","MX",22,212,NA,"90   60","3101","0001",41.3,NA,"","","","",NA,32,4,9,30,7,1022.4,13.6,12.8,4,7,5,2
29361,"2000-01-07-C-32NM",200001,20000109000530,9000530,"20-0001NM-MX-013-0434-09000530","090.0 053.0",1,"ST",-101.35,"01/13/2000",2000,1,36538,13,"12/30/1899 04:34:00",32.646666,32,38.8,"N",-119.483333,-119,29,"W",90,90,90,53,53,53,1318,NA,NA,"RV NEW HORIZON","32NM","MX",23,222,NA,"90   53","3101","0001",40.6,NA,"","","","",NA,NA,NA,NA,32,11,1023.4,11.8,11.3,NA,NA,NA,NA
29362,"2000-01-07-C-32NM",200001,20000109000450,9000450,"20-0001NM-MX-014-0902-09000450","090.0 045.0",1,"ST",-69.32,"01/14/2000",2000,1,36539,14,"12/30/1899 09:02:00",32.918333,32,55.1,"N",-118.936666,-118,56.2,"W",90,90,90,45,45,45,1695,NA,NA,"RV NEW HORIZON","32NM","MX",24,232,NA,"90   45","3101","0001",23.3,NA,"","","","",NA,NA,NA,NA,31,11,1021.1,14.3,12.9,NA,NA,NA,NA
29363,"2000-01-07-C-32NM",200001,20000109000370,9000370,"20-0001NM-MX-014-1434-09000370","090.0 037.0",1,"ST",-37.55,"01/14/2000",2000,1,36539,14,"12/30/1899 14:34:00",33.188333,33,11.3,"N",-118.393333,-118,23.6,"W",90,90,90,37,37,37,1182,NA,NA,"RV NEW HORIZON","32NM","MX",25,242,NA,"90   37","3101","0001",22.6,NA,"","","","",NA,NA,NA,NA,28,4,1020.1,14.9,13.2,NA,NA,NA,NA
29364,"2000-01-07-C-32NM",200001,20000109000350,9000350,"20-0001NM-PR-014-1825-09000350","090.0 035.0",1,"ST",-29.49,"01/14/2000",2000,1,36539,14,"12/30/1899 18:25:00",33.256666,33,15.4,"N",-118.255,-118,15.3,"W",90,90,90,35,35,35,267,29,NA,"RV NEW HORIZON","32NM","PR",26,252,NA,"90   35","3101","0001",20.1,202.7,"12/30/1899 12:02:00","12/30/1899 17:32:00","12/30/1899 12:02:00","12/30/1899 17:32:00",8,20,2,7,29,3,1021.7,16,14.7,1,6,7,7
29365,"2000-01-07-C-32NM",200001,20000109000300,9000300,"20-0001NM-MX-014-2245-09000300","090.0 030.0",1,"ST",-9.59,"01/14/2000",2000,1,36539,14,"12/30/1899 22:45:00",33.418333,33,25.1,"N",-117.908333,-117,54.5,"W",90,90,90,30,30,30,614,22,NA,"RV NEW HORIZON","32NM","MX",27,262,NA,"90   30","3101","0001",30.7,NA,"","","","",NA,31,2,8,29,4,1018.6,17.1,14.5,1,4,3,5
29366,"2000-01-07-C-32NM",200001,20000109000280,9000280,"20-0001NM-MX-015-0200-09000280","090.0 028.0",1,"ST",-1.52,"01/15/2000",2000,1,36540,15,"12/30/1899 02:00:00",33.485,33,29.1,"N",-117.768333,-117,46.1,"W",90,90,90,28,28,28,69,NA,NA,"RV NEW HORIZON","32NM","MX",28,272,NA,"90   28","3101","0001",26.8,NA,"","","","",NA,NA,NA,NA,29,8,1018,17.1,13.4,NA,NA,NA,NA
29367,"2000-01-07-C-32NM",200001,20000108670330,8670330,"20-0001NM-MX-015-0834-08670330","086.7 033.0",1,"ST",-3.72,"01/15/2000",2000,1,36540,15,"12/30/1899 08:34:00",33.888333,33,53.3,"N",-118.493333,-118,29.6,"W",86.7,86.7,86.7,33,33,33,59,NA,NA,"RV NEW HORIZON","32NM","MX",29,282,NA,"87   33","3101","0001",48.7,NA,"","","","",NA,NA,NA,NA,28,3,1018.2,15.6,13.9,NA,NA,NA,NA
29368,"2000-01-07-C-32NM",200001,20000108670350,8670350,"20-0001NM-MX-015-1041-08670350","086.7 035.0",1,"ST",-11.33,"01/15/2000",2000,1,36540,15,"12/30/1899 10:41:00",33.825,33,49.5,"N",-118.63,-118,37.8,"W",86.7,86.7,86.7,35,35,35,665,NA,NA,"RV NEW HORIZON","32NM","MX",30,292,NA,"87   35","3101","0001",29.2,NA,"","","","",NA,NA,NA,NA,23,5,1017.3,16,14.1,NA,NA,NA,NA
29369,"2000-01-07-C-32NM",200001,20000108670400,8670400,"20-0001NM-MX-015-1436-08670400","086.7 040.0",1,"ST",-31.27,"01/15/2000",2000,1,36540,15,"12/30/1899 14:36:00",33.66,33,39.6,"N",-118.978333,-118,58.7,"W",86.7,86.7,86.7,40,40,40,784,NA,NA,"RV NEW HORIZON","32NM","MX",31,302,NA,"87   40","3101","0001",34.6,NA,"","","","",NA,NA,NA,NA,27,4,1015.4,15.8,13.4,NA,NA,NA,NA
29370,"2000-01-07-C-32NM",200001,20000108670450,8670450,"20-0001NM-PR-015-1846-08670450","086.7 045.0",1,"ST",-51.14,"01/15/2000",2000,1,36540,15,"12/30/1899 18:46:00",33.495,33,29.7,"N",-119.323333,-119,19.4,"W",86.7,86.7,86.7,45,45,45,1651,19,NA,"RV NEW HORIZON","32NM","PR",32,312,NA,"87   45","3101","0001",32.9,242.8,"12/30/1899 12:06:00","12/30/1899 17:41:00","12/30/1899 12:06:00","12/30/1899 17:41:00",8,28,1,9,28,10,1017.5,15.5,13.6,1,6,7,7
29371,"2000-01-07-C-32NM",200001,20000108670500,8670500,"20-0001NM-MX-015-2327-08670500","086.7 050.0",1,"ST",-71.03,"01/15/2000",2000,1,36540,15,"12/30/1899 23:27:00",33.323333,33,19.4,"N",-119.663333,-119,39.8,"W",86.7,86.7,86.7,50,50,50,80,23,NA,"RV NEW HORIZON","32NM","MX",33,322,NA,"87   50","3101","0001",29.9,NA,"","","","",NA,31,2,10,11,11,1015.4,15.8,13.1,2,6,8,7
29372,"2000-01-07-C-32NM",200001,20000108670550,8670550,"20-0001NM-MX-016-0314-08670550","086.7 055.0",1,"ST",-91.14,"01/16/2000",2000,1,36541,16,"12/30/1899 03:14:00",33.155,33,9.3,"N",-120.01,-120,0.6,"W",86.7,86.7,86.7,55,55,55,1203,NA,NA,"RV NEW HORIZON","32NM","MX",34,332,NA,"87   55","3101","0001",33.3,NA,"","","","",NA,NA,NA,NA,0,0,1016.3,15.1,14,NA,NA,NA,NA
29373,"2000-01-07-C-32NM",200001,20000108670600,8670600,"20-0001NM-MX-016-0725-08670600","086.7 060.0",1,"ST",-110.83,"01/16/2000",2000,1,36541,16,"12/30/1899 07:25:00",32.99,32,59.4,"N",-120.348333,-120,20.9,"W",86.7,86.7,86.7,60,60,60,720,NA,NA,"RV NEW HORIZON","32NM","MX",35,342,NA,"87   60","3101","0001",41.6,NA,"","","","",NA,NA,NA,NA,0,0,1018.9,14.9,14,NA,NA,NA,NA
29374,"2000-01-07-C-32NM",200001,20000108670700,8670700,"20-0001NM-MX-016-1340-08670700","086.7 070.0",1,"ST",-150.45,"01/16/2000",2000,1,36541,16,"12/30/1899 13:40:00",32.661666,32,39.7,"N",-121.03,-121,1.8,"W",86.7,86.7,86.7,70,70,69.9,3789,NA,NA,"RV NEW HORIZON","32NM","MX",36,352,NA,"87   70","3101","0001",33.9,NA,"","","","",NA,NA,NA,NA,19,7,1019.6,15.8,15.1,NA,NA,NA,NA
29375,"2000-01-07-C-32NM",200001,20000108670800,8670800,"20-0001NM-PR-016-1938-08670800","086.7 080.0",1,"ST",-189.47,"01/16/2000",2000,1,36541,16,"12/30/1899 19:38:00",32.335,32,20.1,"N",-121.696666,-121,41.8,"W",86.7,86.7,86.7,80,80,79.7,4099,16,NA,"RV NEW HORIZON","32NM","PR",37,362,NA,"87   80","3101","0001",31.7,82.8,"12/30/1899 12:30:00","12/30/1899 17:55:00","12/30/1899 12:17:00","12/30/1899 17:55:00",8,36,2,6,1,15,1022.7,14,13,2,6,8,7
29376,"2000-01-07-C-32NM",200001,20000108670900,8670900,"20-0001NM-MX-017-0221-08670900","086.7 090.0",1,"ST",-230.6,"01/17/2000",2000,1,36542,17,"12/30/1899 02:21:00",31.988333,31,59.3,"N",-122.395,-122,23.7,"W",86.7,86.7,86.7,90,90,90,4124,NA,NA,"RV NEW HORIZON","32NM","MX",38,372,NA,"87   90","3101","0001",26.7,NA,"","","","",NA,NA,NA,NA,7,16,1019.8,14,13.2,NA,NA,NA,NA
29377,"2000-01-07-C-32NM",200001,20000108671000,8671000,"20-0001NM-MX-017-0828-08671000","086.7 100.0",1,"ST",-270.28,"01/17/2000",2000,1,36542,17,"12/30/1899 08:28:00",31.661666,31,39.7,"N",-123.071666,-123,4.3,"W",86.7,86.7,86.7,100,100,100,4132,NA,NA,"RV NEW HORIZON","32NM","MX",39,382,NA,"87  100","3101","0001",23.7,NA,"","","","",NA,NA,NA,NA,15,9,1019.3,16.2,15.2,NA,NA,NA,NA
29378,"2000-01-07-C-32NM",200001,20000108671100,8671100,"20-0001NM-PR-017-1824-08671100","086.7 110.0",1,"ST",-309.85,"01/17/2000",2000,1,36542,17,"12/30/1899 18:24:00",31.335,31,20.1,"N",-123.743333,-123,44.6,"W",86.7,86.7,86.6,110,110,109.9,4042,35,NA,"RV NEW HORIZON","32NM","PR",40,392,NA,"87  110","3101","0001",25.2,66.4,"12/30/1899 12:25:00","12/30/1899 18:03:00","12/30/1899 12:25:00","12/30/1899 18:03:00",8,29,4,9,18,9,1019.1,17.8,16.7,6,6,8,7
29379,"2000-01-07-C-32NM",200001,20000108331100,8331100,"20-0001NM-MX-017-2350-08331100","083.3 110.0",1,"ST",-282.25,"01/17/2000",2000,1,36542,17,"12/30/1899 23:50:00",31.915,31,54.9,"N",-124.166666,-124,10,"W",83.3,83.3,83.3,110,110,109.9,4212,NA,NA,"RV NEW HORIZON","32NM","MX",41,402,NA,"83  110","3101","0001",28.9,NA,"","","","",NA,16,3,8,16,13,1017,16.1,15.3,6,6,8,5
29380,"2000-01-07-C-32NM",200001,20000108331000,8331000,"20-0001NM-MX-018-0513-08331000","083.3 100.0",1,"ST",-242.42,"01/18/2000",2000,1,36543,18,"12/30/1899 05:13:00",32.246666,32,14.8,"N",-123.488333,-123,29.3,"W",83.3,83.3,83.3,100,100,99.9,4174,NA,NA,"RV NEW HORIZON","32NM","MX",42,412,NA,"83  100","3101","0001",27.5,NA,"","","","",NA,NA,NA,NA,17,8,1016.7,15.8,15,NA,NA,NA,NA
29381,"2000-01-07-C-32NM",200001,20000108330900,8330900,"20-0001NM-MX-018-1049-08330900","083.3 090.0",1,"ST",-202.71,"01/18/2000",2000,1,36543,18,"12/30/1899 10:49:00",32.578333,32,34.7,"N",-122.81,-122,48.6,"W",83.3,83.3,83.3,90,90,90,4276,NA,NA,"RV NEW HORIZON","32NM","MX",43,422,NA,"83   90","3101","0001",42.6,NA,"","","","",NA,NA,NA,NA,15,10,1017.5,15.3,14.8,NA,NA,NA,NA
29382,"2000-01-07-C-32NM",200001,20000108330800,8330800,"20-0001NM-PR-018-1757-08330800","083.3 080.0",1,"ST",-162.6,"01/18/2000",2000,1,36543,18,"12/30/1899 17:57:00",32.91,32,54.6,"N",-122.12,-122,7.2,"W",83.3,83.3,83.3,80,80,79.9,4177,15,NA,"RV NEW HORIZON","32NM","PR",44,432,NA,"83   80","3101","0001",38,221.7,"12/30/1899 12:19:00","12/30/1899 17:46:00","12/30/1899 12:19:00","12/30/1899 17:46:00",8,21,3,7,15,9,1019,15.8,14.8,1,6,6,8
29383,"2000-01-07-C-32NM",200001,20000108330700,8330700,"20-0001NM-MX-018-2251-08330700","083.3 070.0",1,"ST",-123.08,"01/18/2000",2000,1,36543,18,"12/30/1899 22:51:00",33.245,33,14.7,"N",-121.443333,-121,26.6,"W",83.3,83.3,83.3,70,70,70,3800,13,NA,"RV NEW HORIZON","32NM","MX",45,442,NA,"83   70","3101","0001",40.1,NA,"","","","",NA,26,3,8,13,7,1019.2,15,14.3,1,2,6,6
29384,"2000-01-07-C-32NM",200001,20000108330600,8330600,"20-0001NM-MX-019-0433-08330600","083.3 060.0",1,"ST",-83.23,"01/19/2000",2000,1,36544,19,"12/30/1899 04:33:00",33.578333,33,34.7,"N",-120.755,-120,45.3,"W",83.3,83.3,83.3,60,60,60,1401,NA,NA,"RV NEW HORIZON","32NM","MX",46,452,NA,"83   60","3101","0001",32.8,NA,"","","","",NA,NA,NA,NA,11,5,1020.9,14.8,13.4,NA,NA,NA,NA
29385,"2000-01-07-C-32NM",200001,20000108330550,8330550,"20-0001NM-MX-019-0831-08330550","083.3 055.0",1,"ST",-63.45,"01/19/2000",2000,1,36544,19,"12/30/1899 08:31:00",33.745,33,44.7,"N",-120.413333,-120,24.8,"W",83.3,83.3,83.3,55,55,55,1029,NA,NA,"RV NEW HORIZON","32NM","MX",47,462,NA,"83   55","3101","0001",14.7,NA,"","","","",NA,NA,NA,NA,19,5,1022.1,14.1,13.2,NA,NA,NA,NA
29386,"2000-01-07-C-32NM",200001,20000108330510,8330510,"20-0001NM-MX-019-1207-08330510","083.3 051.0",1,"ST",-47.48,"01/19/2000",2000,1,36544,19,"12/30/1899 12:07:00",33.876666,33,52.6,"N",-120.135,-120,8.1,"W",83.3,83.3,83.3,51,51,51,103,NA,NA,"RV NEW HORIZON","32NM","MX",48,472,NA,"83   51","3101","0001",24.1,NA,"","","","",NA,NA,NA,NA,30,2,1020,14.9,13.7,NA,NA,NA,NA
29387,"2000-01-07-C-32NM",200001,20000108330420,8330420,"20-0001NM-PR-019-1823-08330420","083.3 042.0",1,"ST",-11.49,"01/19/2000",2000,1,36544,19,"12/30/1899 18:23:00",34.181666,34,10.9,"N",-119.511666,-119,30.7,"W",83.3,83.3,83.3,42,42,42,121,20,NA,"RV NEW HORIZON","32NM","PR",49,482,NA,"83   42","3101","0001",45.7,330.2,"12/30/1899 12:09:00","12/30/1899 17:44:00","12/30/1899 12:09:00","12/30/1899 17:44:00",8,7,1,8,10,3,1022.1,16.8,14.9,1,1,5,8
29388,"2000-01-07-C-32NM",200001,20000108330406,8330406,"20-0001NM-MX-019-2052-08330406","083.3 040.6",1,"ST",-5.94,"01/19/2000",2000,1,36544,19,"12/30/1899 20:52:00",34.223333,34,13.4,"N",-119.411666,-119,24.7,"W",83.3,83.3,83.3,40.6,40.6,40.6,35,18,NA,"RV NEW HORIZON","32NM","MX",50,492,NA,"83   40.6","3101","0001",22.4,NA,"","","","",NA,3,2,9,29,6,1021.5,16.8,15.2,1,4,3,7
29389,"2000-01-07-C-32NM",200001,20000108180469,8180469,"20-0001NM-MX-020-0126-08180469","081.8 046.9",1,"ST",-14.04,"01/20/2000",2000,1,36545,20,"12/30/1899 01:26:00",34.273333,34,16.4,"N",-120.026666,-120,1.6,"W",82,81.8,81.8,47,46.9,46.9,581,NA,NA,"RV NEW HORIZON","32NM","MX",51,502,NA,"82   47","3101","0001",145.2,NA,"","","","",NA,27,2,11,25,15,1020.3,15.8,13.4,2,4,8,6
29390,"2000-01-07-C-32NM",200001,20000108000510,8000510,"20-0001NM-MX-020-1313-08000510","080.0 051.0",1,"ST",-2.64,"01/20/2000",2000,1,36545,20,"12/30/1899 13:13:00",34.45,34,27,"N",-120.525,-120,31.5,"W",80,80,80,51,51,51,74,NA,NA,"RV NEW HORIZON","32NM","MX",52,512,NA,"80   51","3101","0001",68.9,NA,"","","","",NA,NA,NA,NA,24,7,1018.4,15.2,14.1,NA,NA,NA,NA
